country,index,time,count,total_encounter_duration
USA,73,1983-01-01 00:00:00+00:00,131,611 days 02:57:40
USA,74,1984-01-01 00:00:00+00:00,161,93 days 10:51:41
USA,75,1985-01-01 00:00:00+00:00,193,2 days 12:41:04
USA,76,1986-01-01 00:00:00+00:00,167,2 days 06:43:58
USA,77,1987-01-01 00:00:00+00:00,188,32 days 14:14:13.010000
USA,78,1988-01-01 00:00:00+00:00,212,64 days 19:20:42.500000
USA,79,1989-01-01 00:00:00+00:00,225,6 days 02:44:12
USA,80,1990-01-01 00:00:00+00:00,219,3 days 01:13:44
USA,81,1991-01-01 00:00:00+00:00,204,775 days 22:58:59.500000
USA,82,1992-01-01 00:00:00+00:00,215,2 days 21:01:50
USA,83,1993-01-01 00:00:00+00:00,260,80 days 22:47:59.200000
USA,84,1994-01-01 00:00:00+00:00,363,127 days 08:59:41.300000
USA,85,1995-01-01 00:00:00+00:00,1007,48 days 17:32:13
USA,86,1996-01-01 00:00:00+00:00,722,37 days 09:22:47
USA,87,1997-01-01 00:00:00+00:00,1118,37 days 05:21:59.680000
USA,88,1998-01-01 00:00:00+00:00,1584,22 days 15:27:58
USA,89,1999-01-01 00:00:00+00:00,2531,30 days 02:26:02.210000
USA,90,2000-01-01 00:00:00+00:00,2426,28 days 05:38:00.880000
USA,91,2001-01-01 00:00:00+00:00,2637,44 days 00:05:39.420000
USA,92,2002-01-01 00:00:00+00:00,2653,752 days 21:59:29.150000
USA,93,2003-01-01 00:00:00+00:00,3207,44 days 11:59:25.700000
USA,94,2004-01-01 00:00:00+00:00,3550,153 days 09:52:35.040000
USA,95,2005-01-01 00:00:00+00:00,3514,52 days 10:44:42.280000
USA,96,2006-01-01 00:00:00+00:00,3146,119 days 14:56:01.250000
USA,97,2007-01-01 00:00:00+00:00,3740,119 days 02:02:46
USA,98,2008-01-01 00:00:00+00:00,4305,210 days 01:57:04.900000
USA,99,2009-01-01 00:00:00+00:00,3960,145 days 21:27:53.800000
USA,100,2010-01-01 00:00:00+00:00,3843,103 days 19:48:06.200000
USA,101,2011-01-01 00:00:00+00:00,4749,132 days 07:00:10.650000
USA,102,2012-01-01 00:00:00+00:00,6756,783 days 06:40:22.870000
USA,103,2013-01-01 00:00:00+00:00,6479,215 days 03:43:22.250000
USA,104,2014-01-01 00:00:00+00:00,2094,18 days 16:39:54.530000
GLOBAL,0,1910-01-01 00:00:00+00:00,2,0 days 00:04:00
GLOBAL,1,1911-01-01 00:00:00+00:00,0,0 days 00:00:00
GLOBAL,2,1912-01-01 00:00:00+00:00,0,0 days 00:00:00
GLOBAL,3,1913-01-01 00:00:00+00:00,0,0 days 00:00:00
GLOBAL,4,1914-01-01 00:00:00+00:00,0,0 days 00:00:00
GLOBAL,5,1915-01-01 00:00:00+00:00,0,0 days 00:00:00
GLOBAL,6,1916-01-01 00:00:00+00:00,0,0 days 00:00:00
GLOBAL,7,1917-01-01 00:00:00+00:00,0,0 days 00:00:00
GLOBAL,8,1918-01-01 00:00:00+00:00,0,0 days 00:00:00
GLOBAL,9,1919-01-01 00:00:00+00:00,0,0 days 00:00:00
GLOBAL,10,1920-01-01 00:00:00+00:00,1,0 days 00:01:00
GLOBAL,11,1921-01-01 00:00:00+00:00,0,0 days 00:00:00
GLOBAL,12,1922-01-01 00:00:00+00:00,0,0 days 00:00:00
GLOBAL,13,1923-01-01 00:00:00+00:00,0,0 days 00:00:00
GLOBAL,14,1924-01-01 00:00:00+00:00,0,0 days 00:00:00
GLOBAL,15,1925-01-01 00:00:00+00:00,1,0 days 00:01:00
GLOBAL,16,1926-01-01 00:00:00+00:00,0,0 days 00:00:00
GLOBAL,17,1927-01-01 00:00:00+00:00,0,0 days 00:00:00
GLOBAL,18,1928-01-01 00:00:00+00:00,0,0 days 00:00:00
GLOBAL,19,1929-01-01 00:00:00+00:00,1,0 days 00:01:00
GLOBAL,20,1930-01-01 00:00:00+00:00,1,0 days 00:20:00
GLOBAL,21,1931-01-01 00:00:00+00:00,2,0 days 00:31:00
GLOBAL,22,1932-01-01 00:00:00+00:00,0,0 days 00:00:00
GLOBAL,23,1933-01-01 00:00:00+00:00,1,0 days 00:30:00
GLOBAL,24,1934-01-01 00:00:00+00:00,1,0 days 00:00:05
GLOBAL,25,1935-01-01 00:00:00+00:00,0,0 days 00:00:00
GLOBAL,26,1936-01-01 00:00:00+00:00,2,0 days 00:23:00
GLOBAL,27,1937-01-01 00:00:00+00:00,2,0 days 00:10:10
GLOBAL,28,1938-01-01 00:00:00+00:00,0,0 days 00:00:00
GLOBAL,29,1939-01-01 00:00:00+00:00,3,0 days 00:15:10
GLOBAL,30,1940-01-01 00:00:00+00:00,0,0 days 00:00:00
GLOBAL,31,1941-01-01 00:00:00+00:00,1,0 days 00:00:30
GLOBAL,32,1942-01-01 00:00:00+00:00,2,0 days 00:05:00
GLOBAL,33,1943-01-01 00:00:00+00:00,7,0 days 02:37:00
GLOBAL,34,1944-01-01 00:00:00+00:00,7,0 days 01:24:30
GLOBAL,35,1945-01-01 00:00:00+00:00,8,9 days 02:44:02
